0.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00,67.00,68.00,69.00,70.00,71.00,72.00,73.00,74.00,75.00,76.00,77.00,78.00,79.00,80.00,81.00,82.00,83.00,84.00,85.00,86.00,87.00,88.00,89.00,90.00,91.00,92.00,93.00,94.00,95.00,96.00,97.00,98.00,99.00,100.00,101.00,102.00,103.00,104.00,105.00,106.00,107.00,108.00,109.00,110.00,111.00,112.00,113.00,114.00,115.00,116.00,117.00,118.00,119.00,120.00,121.00,122.00,123.00,124.00,125.00,126.00,127.00,128.00,129.00,130.00,131.00,132.00,133.00,134.00,135.00,136.00,137.00,138.00,139.00,140.00,141.00,142.00,143.00,144.00,145.00,146.00,147.00,148.00,149.00,150.00,151.00,152.00,153.00,154.00,155.00,156.00,157.00,158.00,159.00,160.00,161.00,162.00,163.00,164.00,165.00,166.00,167.00,168.00,169.00,170.00,171.00,172.00,173.00,174.00,175.00,176.00,177.00,178.00,179.00,180.00,181.00,182.00,183.00,184.00,185.00,186.00,187.00,188.00,189.00,190.00,191.00,192.00,193.00,194.00,195.00,196.00,197.00,198.00,199.00,200.00,201.00,202.00,203.00,204.00,205.00,206.00,207.00,208.00,209.00,210.00,211.00,212.00,213.00,214.00,215.00,216.00,217.00,218.00,219.00,220.00,221.00,222.00,223.00,224.00,225.00,226.00,227.00,228.00,229.00,230.00,231.00,232.00,233.00,234.00,235.00,236.00,237.00,238.00,239.00,240.00,241.00,242.00,243.00,244.00,245.00,246.00,247.00,248.00,249.00,250.00,251.00,252.00,253.00,254.00,255.00,256.00
0.00,0.02,0.03,0.05,0.07,0.09,0.10,0.12,0.14,0.16,0.17,0.19,0.21,0.22,0.24,0.26,0.28,0.29,0.31,0.33,0.34,0.36,0.37,0.39,0.41,0.42,0.44,0.45,0.47,0.48,0.50,0.52,0.53,0.54,0.56,0.57,0.59,0.60,0.62,0.63,0.64,0.66,0.67,0.68,0.69,0.71,0.72,0.73,0.74,0.75,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.90,0.91,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.95,0.95,0.94,0.93,0.93,0.92,0.91,0.91,0.90,0.89,0.88,0.87,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.75,0.74,0.73,0.72,0.71,0.69,0.68,0.67,0.66,0.64,0.63,0.62,0.60,0.59,0.57,0.56,0.54,0.53,0.52,0.50,0.48,0.47,0.45,0.44,0.42,0.41,0.39,0.37,0.36,0.34,0.33,0.31,0.29,0.28,0.26,0.24,0.22,0.21,0.19,0.17,0.16,0.14,0.12,0.10,0.09,0.07,0.05,0.03,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,1.02,1.04,1.05,1.07,1.09,1.11,1.13,1.15,1.17,1.19,1.21,1.23,1.25,1.27,1.30,1.32,1.34,1.36,1.38,1.41,1.43,1.45,1.48,1.50,1.53,1.55,1.57,1.60,1.62,1.65,1.67,1.70,1.72,1.75,1.77,1.80,1.83,1.85,1.88,1.90,1.93,1.95,1.98,2.00,2.03,2.05,2.08,2.10,2.13,2.15,2.18,2.20,2.22,2.25,2.27,2.29,2.31,2.34,2.36,2.38,2.40,2.42,2.44,2.46,2.48,2.49,2.51,2.53,2.54,2.56,2.57,2.59,2.60,2.61,2.63,2.64,2.65,2.66,2.67,2.68,2.69,2.69,2.70,2.70,2.71,2.71,2.71,2.72,2.72,2.72,2.72,2.72,2.71,2.71,2.71,2.70,2.70,2.69,2.69,2.68,2.67,2.66,2.65,2.64,2.63,2.61,2.60,2.59,2.57,2.56,2.54,2.53,2.51,2.49,2.48,2.46,2.44,2.42,2.40,2.38,2.36,2.34,2.31,2.29,2.27,2.25,2.22,2.20,2.18,2.15,2.13,2.10,2.08,2.05,2.03,2.00,1.98,1.95,1.93,1.90,1.88,1.85,1.83,1.80,1.77,1.75,1.72,1.70,1.67,1.65,1.62,1.60,1.57,1.55,1.53,1.50,1.48,1.45,1.43,1.41,1.38,1.36,1.34,1.32,1.30,1.27,1.25,1.23,1.21,1.19,1.17,1.15,1.13,1.11,1.09,1.07,1.05,1.04,1.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.02,0.04,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.23,0.25,0.27,0.30,0.32,0.34,0.36,0.38,0.41,0.43,0.45,0.48,0.50,0.53,0.55,0.57,0.60,0.62,0.65,0.67,0.70,0.72,0.75,0.77,0.80,0.83,0.85,0.88,0.90,0.93,0.95,0.98,1.00,1.03,1.05,1.08,1.10,1.13,1.15,1.18,1.20,1.22,1.25,1.27,1.29,1.31,1.34,1.36,1.38,1.40,1.42,1.44,1.46,1.48,1.49,1.51,1.53,1.54,1.56,1.57,1.59,1.60,1.61,1.63,1.64,1.65,1.66,1.67,1.68,1.69,1.69,1.70,1.70,1.71,1.71,1.71,1.72,1.72,1.72,1.72,1.72,1.71,1.71,1.71,1.70,1.70,1.69,1.69,1.68,1.67,1.66,1.65,1.64,1.63,1.61,1.60,1.59,1.57,1.56,1.54,1.53,1.51,1.49,1.48,1.46,1.44,1.42,1.40,1.38,1.36,1.34,1.31,1.29,1.27,1.25,1.22,1.20,1.18,1.15,1.13,1.10,1.08,1.05,1.03,1.00,0.98,0.95,0.93,0.90,0.88,0.85,0.83,0.80,0.77,0.75,0.72,0.70,0.67,0.65,0.62,0.60,0.57,0.55,0.53,0.50,0.48,0.45,0.43,0.41,0.38,0.36,0.34,0.32,0.30,0.27,0.25,0.23,0.21,0.19,0.17,0.15,0.13,0.11,0.09,0.07,0.05,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,3,5,8,11,14,16,19,22,25,28,31,34,37,41,44,47,50,54,57,61,64,67,71,74,78,82,85,89,93,96,100,104,107,111,115,119,122,126,130,134,138,141,145,149,153,156,160,164,167,171,174,178,181,185,188,192,195,198,201,204,207,210,213,216,219,222,224,227,229,231,234,236,238,240,241,243,245,246,248,249,250,251,252,253,253,254,254,255,255,255,255,255,254,254,253,253,252,251,250,249,248,246,245,243,241,240,238,236,234,231,229,227,224,222,219,216,213,210,207,204,201,198,195,192,188,185,181,178,174,171,167,164,160,156,153,149,145,141,138,134,130,126,122,119,115,111,107,104,100,96,93,89,85,82,78,74,71,67,64,61,57,54,50,47,44,41,37,34,31,28,25,22,19,16,14,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
